district,address,longitude,latitude,total_price,unit_price,
萬華區,臺北市萬華區成都路31號,121.50674,25.042696,420000,1657,
萬華區,臺北市萬華區萬大路451號,121.498343,25.020846,68000,332,
中山區,臺北市中山區伊通街106巷1號,121.534627,25.054057,68112,510,
北投區,臺北市北投區吉利街211號,121.50926,25.118832,50000,208,
文山區,臺北市文山區羅斯福路六段271號,121.541378,24.994837,50000,616,
文山區,臺北市文山區羅斯福路六段271號,121.541378,24.994837,50000,481,
士林區,臺北市士林區文林路1號,121.521579,25.101524,155000,3006,
中山區,臺北市中山區明水路571號,121.551502,25.079899,135000,671,
松山區,臺北市松山區八德路四段151號,121.562399,25.048936,70000,566,
士林區,臺北市士林區中山北路六段421號,121.526843,25.113768,75000,388,
大安區,臺北市大安區敦化南路二段63巷54弄1號,121.551616,25.030672,62436,633,
士林區,臺北市士林區忠誠路一段31號,121.527282,25.104224,59031,387,
信義區,臺北市信義區莊敬路341巷4弄1號,121.564898,25.028235,25000,350,
信義區,臺北市信義區基隆路二段121號,121.557072,25.028451,45408,846,
信義區,臺北市信義區光復南路1號,121.557999,25.047921,48000,319,
中山區,臺北市中山區南京東路一段132巷1號,121.527287,25.051739,100000,571,
萬華區,臺北市萬華區萬大路423巷31號,121.500093,25.021279,27000,444,
中山區,臺北市中山區興安街1號,121.544093,25.056054,32000,302,
士林區,臺北市士林區中山北路七段14巷30弄1號,121.533503,25.119242,75000,408,
中山區,臺北市中山區八德路二段61號,121.534769,25.045187,54000,475,
信義區,臺北市信義區永吉路451號,121.578587,25.045601,60000,589,
大安區,臺北市大安區光復南路301號,121.557843,25.048199,310000,977,
松山區,臺北市松山區八德路三段241號,121.557407,25.048303,68000,944,
北投區,臺北市北投區石牌路二段301號,121.522771,25.121401,120000,355,
大安區,臺北市大安區安和路一段61號,121.551661,25.037445,113000,1404,
中山區,臺北市中山區中山北路一段96巷1號,121.521049,25.049583,30000,739,
中正區,臺北市中正區汀州路二段91號,121.518022,25.025473,35000,320,
萬華區,臺北市萬華區成都路1號,121.507924,25.04268,50000,648,
中正區,臺北市中正區仁愛路二段31號,121.527947,25.038513,250000,532,
大安區,臺北市大安區和平東路二段181號,121.541893,25.025311,82000,1087,
大安區,臺北市大安區和平東路二段1號,121.534872,25.025997,40000,481,
信義區,臺北市信義區信安街91號,121.557068,25.025703,57000,258,
信義區,臺北市信義區永吉路91號,121.568898,25.043754,50000,445,
內湖區,臺北市內湖區文德路211號,121.586735,25.078805,75000,618,
大安區,臺北市大安區復興南路二段121號,121.543811,25.029387,115000,702,
內湖區,臺北市內湖區港墘路26巷1號,121.577881,25.082873,37530,312,
大安區,臺北市大安區大安路一段121號,121.54615,25.03927,235000,2155,
中山區,臺北市中山區北安路630巷25弄1號,121.550431,25.082852,52000,628,
中正區,臺北市中正區忠孝西路一段61號,121.514246,25.047011,28000,1224,
中山區,臺北市中山區松江路38巷31號,121.530583,25.047698,50000,315,
大安區,臺北市大安區四維路181號,121.548125,25.028046,100000,607,
大安區,臺北市大安區仁愛路四段391號,121.555227,25.038099,102170,1153,
中山區,臺北市中山區農安街166巷1號,121.533926,25.064517,30000,617,
信義區,臺北市信義區忠孝東路五段1號,121.56484,25.041359,220000,2059,
大同區,臺北市大同區南京西路61號,121.519086,25.053089,380000,2147,
萬華區,臺北市萬華區昆明街91號,121.504775,25.042573,170280,2774,
士林區,臺北市士林區至誠路二段31號,121.52935,25.101775,50000,481,
內湖區,臺北市內湖區文德路1號,121.579713,25.078658,80000,365,
中正區,臺北市中正區和平西路一段1號,121.521907,25.027163,525000,609,
信義區,臺北市信義區光復南路415巷31號,121.561285,25.036947,45000,559,
大安區,臺北市大安區信義路四段265巷31號,121.555238,25.034622,40000,917,
南港區,臺北市南港區中南街31號,121.615309,25.054148,20000,387,
內湖區,臺北市內湖區民權東路六段181號,121.596953,25.068045,70000,570,
中正區,臺北市中正區羅斯福路一段31號,121.518539,25.032702,42000,349,
中山區,臺北市中山區遼寧街211號,121.542562,25.055397,45000,1006,
中山區,臺北市中山區臺北市中山區民權東路二段135巷20弄1號,121.5334376,25.06463266,40000,211,
大安區,臺北市大安區和平東路二段181號,121.541893,25.025311,90000,1162,
